epoch, 1
0.041175
count [L.N(Gp)+L.N(Gn) = 2] : , 1647
count [L.N(Gp)+L.N(Gn) = 3] : , 16717
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1777
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 20834
count [L.N(Gp)+L.N(Gn) = 5] : , 25
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 2
0.024225
count [L.N(Gp)+L.N(Gn) = 2] : , 969
count [L.N(Gp)+L.N(Gn) = 3] : , 14400
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1810
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 23800
count [L.N(Gp)+L.N(Gn) = 5] : , 21
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 3
0.018625
count [L.N(Gp)+L.N(Gn) = 2] : , 745
count [L.N(Gp)+L.N(Gn) = 3] : , 12908
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1910
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25380
count [L.N(Gp)+L.N(Gn) = 5] : , 57
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 4
0.015475
count [L.N(Gp)+L.N(Gn) = 2] : , 619
count [L.N(Gp)+L.N(Gn) = 3] : , 12573
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1463
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26312
count [L.N(Gp)+L.N(Gn) = 5] : , 33
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 5
0.0134146
count [L.N(Gp)+L.N(Gn) = 2] : , 550
count [L.N(Gp)+L.N(Gn) = 3] : , 11786
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1578
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27025
count [L.N(Gp)+L.N(Gn) = 5] : , 61
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 6
0.01235
count [L.N(Gp)+L.N(Gn) = 2] : , 494
count [L.N(Gp)+L.N(Gn) = 3] : , 11398
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1551
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27508
count [L.N(Gp)+L.N(Gn) = 5] : , 49
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 7
0.0110976
count [L.N(Gp)+L.N(Gn) = 2] : , 455
count [L.N(Gp)+L.N(Gn) = 3] : , 11163
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1388
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27948
count [L.N(Gp)+L.N(Gn) = 5] : , 46
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 8
0.010775
count [L.N(Gp)+L.N(Gn) = 2] : , 431
count [L.N(Gp)+L.N(Gn) = 3] : , 10640
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1458
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 28417
count [L.N(Gp)+L.N(Gn) = 5] : , 54
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 9
0.0103
count [L.N(Gp)+L.N(Gn) = 2] : , 412
count [L.N(Gp)+L.N(Gn) = 3] : , 10299
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1543
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 28686
count [L.N(Gp)+L.N(Gn) = 5] : , 60
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 10
0.009775
count [L.N(Gp)+L.N(Gn) = 2] : , 391
count [L.N(Gp)+L.N(Gn) = 3] : , 10204
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1394
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 28962
count [L.N(Gp)+L.N(Gn) = 5] : , 49
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 11
0.009225
count [L.N(Gp)+L.N(Gn) = 2] : , 369
count [L.N(Gp)+L.N(Gn) = 3] : , 9859
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1482
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 29204
count [L.N(Gp)+L.N(Gn) = 5] : , 86
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 12
0.00905
count [L.N(Gp)+L.N(Gn) = 2] : , 362
count [L.N(Gp)+L.N(Gn) = 3] : , 9864
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1283
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 29459
count [L.N(Gp)+L.N(Gn) = 5] : , 32
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 13
0.008875
count [L.N(Gp)+L.N(Gn) = 2] : , 355
count [L.N(Gp)+L.N(Gn) = 3] : , 9506
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1485
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 29550
count [L.N(Gp)+L.N(Gn) = 5] : , 104
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 14
0.0087
count [L.N(Gp)+L.N(Gn) = 2] : , 348
count [L.N(Gp)+L.N(Gn) = 3] : , 9325
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1525
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 29747
count [L.N(Gp)+L.N(Gn) = 5] : , 55
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 15
0.008475
count [L.N(Gp)+L.N(Gn) = 2] : , 339
count [L.N(Gp)+L.N(Gn) = 3] : , 9329
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1296
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 29975
count [L.N(Gp)+L.N(Gn) = 5] : , 61
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 16
0.00835
count [L.N(Gp)+L.N(Gn) = 2] : , 334
count [L.N(Gp)+L.N(Gn) = 3] : , 9041
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1413
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 30136
count [L.N(Gp)+L.N(Gn) = 5] : , 76
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 17
inf
count [L.N(Gp)+L.N(Gn) = 2] : , 325
count [L.N(Gp)+L.N(Gn) = 3] : , 9022
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1338
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 30245
count [L.N(Gp)+L.N(Gn) = 5] : , 70
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 1
0.0985779
